video_name,true_label,path_to_video,path_to_img,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
03b8033d6d547574.mp4,no_action,../prepair_dataset/train/no_action/03b8033d6d547574.mp4,../images_for_emb/no_action/03b8033d6d547574.jpg,-1.4488752,7.5879946,0.3560327,-2.0177932,-3.558548,-0.23076203,1.8076115,-0.094711564,-0.28537807,0.24362503,0.4953211,-0.07631166,-0.67287904,0.33113816,1.3698128,0.8905378,-0.58994216,0.05501423,-0.5237414,-0.2022435,-0.11427464,0.13333823,-0.020402586,-0.011310586,-0.048075665
060fb2db9c860b66.mp4,no_action,../prepair_dataset/train/no_action/060fb2db9c860b66.mp4,../images_for_emb/no_action/060fb2db9c860b66.jpg,10.105332,-1.6552663,-0.23726247,0.5901108,-0.41039115,-0.23080753,0.6136974,1.940164,-2.090696,-2.0370677,-2.8690107,2.678093,-1.7372184,-2.1321418,-1.2976247,-1.851414,-0.9472724,0.38875732,-1.6847622,-1.4323328,1.3757702,1.0978532,-1.4282084,-0.3181216,0.45447156
0f4c86beb84b2eca.mp4,no_action,../prepair_dataset/train/no_action/0f4c86beb84b2eca.mp4,../images_for_emb/no_action/0f4c86beb84b2eca.jpg,-0.13642053,3.4956305,-4.016883,-2.3484848,4.0963764,4.6561294,-3.1593602,-0.034143604,1.7202333,-1.7281897,-0.19200917,0.5227742,0.042865846,0.6146836,0.57450944,-0.185277,-0.2509699,0.36872068,-0.70579463,-0.78168434,-1.4354492,0.4310679,-0.18825407,0.25902593,0.05696834
1dd6bf94517609eb.mp4,no_action,../prepair_dataset/train/no_action/1dd6bf94517609eb.mp4,../images_for_emb/no_action/1dd6bf94517609eb.jpg,-5.1742196,-1.8853046,-5.181727,-1.3965801,-0.6244336,-1.9950571,-0.71853924,-0.72098583,-2.4738703,-1.8437316,1.1936101,-1.4615471,-0.052912585,-0.23381375,-0.5970741,-0.24152018,0.99403495,-0.5505817,0.38991934,0.4216659,0.097622186,0.05121872,-0.69677806,1.0691226,-0.14468497
1df2cff51066ac34.mp4,no_action,../prepair_dataset/train/no_action/1df2cff51066ac34.mp4,../images_for_emb/no_action/1df2cff51066ac34.jpg,-3.9488623,-3.0491524,6.1971064,-0.8659579,0.5967255,-1.1437775,-1.1120465,-1.0146974,0.24245678,-1.5540168,-0.11079971,-0.5392846,-0.3415953,1.6011349,0.17423747,-1.096461,-1.3166814,-1.1142783,-1.4129062,1.6059691,-0.46717933,-0.68300456,-0.5856433,0.03837675,0.19468898
25736d9c2b514c8d.mp4,no_action,../prepair_dataset/train/no_action/25736d9c2b514c8d.mp4,../images_for_emb/no_action/25736d9c2b514c8d.jpg,-1.6609126,7.3603263,0.56506884,-2.1254232,-3.7548184,-0.07236968,1.9567626,-0.09737425,-0.31002983,0.19938636,0.032809246,-0.09385308,-0.6958834,0.2852138,1.2841729,0.9311052,-0.4246471,0.480636,-0.6147526,-0.21563417,0.3086996,0.1497058,-0.06484816,0.033528324,-0.26084936
26539a8b477368ac.mp4,no_action,../prepair_dataset/train/no_action/26539a8b477368ac.mp4,../images_for_emb/no_action/26539a8b477368ac.jpg,-6.17631,0.28940767,2.0336778,5.6008105,0.6776376,0.49484646,-0.58639956,2.6303263,0.37087664,0.57270896,1.06842,-0.42403364,-0.015809847,-1.1175989,-0.9702837,1.2680731,-1.1866525,-0.022846274,-0.15720728,-0.24037683,0.16900836,-0.34952503,0.007330013,0.40774176,-0.058706246
2ba73f2af2fc40a9.mp4,no_action,../prepair_dataset/train/no_action/2ba73f2af2fc40a9.mp4,../images_for_emb/no_action/2ba73f2af2fc40a9.jpg,12.335458,0.296316,-1.5062422,-1.7851045,4.8540907,-3.8968935,2.986538,2.654864,2.0375226,0.25765482,-0.59968704,-2.543356,0.564531,0.9384311,0.25327554,0.162101,-0.20618854,0.12972113,-0.0277644,-0.11840146,0.1331785,0.22004424,0.013075538,-0.055752426,-0.042952184
359d8994e59bc4c2.mp4,no_action,../prepair_dataset/train/no_action/359d8994e59bc4c2.mp4,../images_for_emb/no_action/359d8994e59bc4c2.jpg,-4.031841,-3.089531,6.39127,-0.62343746,0.6449416,-1.4298053,-0.8700836,-1.1843656,0.41622677,-1.81422,-0.447062,-0.3981885,-0.26479086,1.5943071,0.05870502,-1.0196128,-1.290114,-1.125751,-1.5097736,1.3662578,-0.5804799,-0.48437187,-0.414216,0.07681358,0.33583036
3b8875d081288b97.mp4,no_action,../prepair_dataset/train/no_action/3b8875d081288b97.mp4,../images_for_emb/no_action/3b8875d081288b97.jpg,10.206718,-3.5082824,-1.0986605,2.9415905,-3.3975234,2.2902575,-2.7180192,1.1559459,-3.1541226,1.5163643,-2.8559408,-2.0292096,4.2411895,-1.7578291,3.0617943,-0.31721058,-1.0435772,0.37601525,0.21249409,0.7999175,-0.7268293,0.051660363,-0.21858282,0.1608109,0.18854769
