video_name,true_label,path_to_video,path_to_img,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,sub_class
01531ae3db6e8494.mp4,bridge_down,../prepair_dataset/train/bridge_down/01531ae3db6e8494.mp4,../images_for_emb/bridge_down/01531ae3db6e8494.jpg,-0.5088852,-1.6868179,3.9081886,3.3813932,-1.3104594,0.8031835,-1.4359349,2.094774,1.1916546,-2.3344455,0.45158353,-1.3554671,-1.2138611,1.6036466,-1.4122146,1.8216096,-0.7198453,0.27632722,1.1380079,1.1955876,-0.8850277,-0.04916699,1.4547949,0.035279747,0.12637606,0
01a9dd89287598bb.mp4,bridge_down,../prepair_dataset/train/bridge_down/01a9dd89287598bb.mp4,../images_for_emb/bridge_down/01a9dd89287598bb.jpg,3.2094247,-2.4508803,0.24219532,1.5912889,0.3679596,-3.6625974,-0.9414533,-2.8596919,-2.095256,0.20083117,-1.7350389,0.5155981,-0.97233665,-1.4259176,-0.8367094,0.09999523,-1.429367,1.9705017,2.3928013,-2.5803573,-0.28633943,-2.2646828,-0.820219,-1.0899163,-0.7268694,1
01d6c9ecf3ed9c21.mp4,bridge_down,../prepair_dataset/train/bridge_down/01d6c9ecf3ed9c21.mp4,../images_for_emb/bridge_down/01d6c9ecf3ed9c21.jpg,-6.989536,4.2026296,1.0349861,2.3672605,-3.8462195,2.1571586,-1.008149,-1.5003903,2.220109,-1.0862428,-1.8027791,-0.7482166,-0.6959883,0.23301129,0.47692046,1.4570901,-0.19619358,0.47560254,0.7478525,0.4867902,0.5507253,-0.75945336,0.22857445,0.91422415,0.5846619,2
028addb2431dbe90.mp4,bridge_down,../prepair_dataset/train/bridge_down/028addb2431dbe90.mp4,../images_for_emb/bridge_down/028addb2431dbe90.jpg,-0.6267603,-2.1569593,4.8495884,0.928747,1.9115087,2.2622566,0.971308,-0.21091963,-0.4167412,0.31089076,-0.95323527,-1.2367477,-1.0021731,0.84076023,-0.91938347,0.29843274,0.014103308,-0.10927951,-1.3175657,-0.3907071,1.2723687,-0.16362621,1.4680127,-0.18450119,-0.2818225,3
05a2f0b1101a474a.mp4,bridge_down,../prepair_dataset/train/bridge_down/05a2f0b1101a474a.mp4,../images_for_emb/bridge_down/05a2f0b1101a474a.jpg,-6.976859,2.7907407,0.75679445,0.5587897,-4.2827253,1.796466,1.4745877,-2.508474,0.90801203,-2.2923305,-0.3391829,1.0523504,-0.15539101,0.9771598,-1.8698246,0.3173799,0.95036733,0.27801505,0.07334599,-0.42228043,-0.43989864,-0.36962825,-0.6431557,-0.20615263,1.2488405,2
06d725e724a8928a.mp4,bridge_down,../prepair_dataset/train/bridge_down/06d725e724a8928a.mp4,../images_for_emb/bridge_down/06d725e724a8928a.jpg,-6.212791,-2.9460828,-2.7411447,-3.9823313,0.58804536,-0.09356984,-0.80783665,0.5538223,-0.31766176,-0.05307587,0.19881666,-0.12149934,1.3365641,-0.32073146,0.33319762,-0.9743665,0.51060414,-0.5614228,-2.5044954,1.3146304,0.015162571,-0.6648169,0.105705015,-0.26912403,-0.2611251,4
0709b441fe34963b.mp4,bridge_down,../prepair_dataset/train/bridge_down/0709b441fe34963b.mp4,../images_for_emb/bridge_down/0709b441fe34963b.jpg,0.7049844,6.077452,-0.20349845,-1.7800537,0.7589154,-0.87919116,-1.0924029,0.48517513,-4.3443284,1.1806632,1.9782058,0.9528983,-2.4597723,-2.6535294,-1.4978604,-1.0556302,0.015743762,2.9557738,-0.23461777,1.3011893,-0.42377907,-0.1833401,1.1421947,1.50207,-0.14001022,5
07a267d061839a0c.mp4,bridge_down,../prepair_dataset/train/bridge_down/07a267d061839a0c.mp4,../images_for_emb/bridge_down/07a267d061839a0c.jpg,-0.99003524,0.40295142,4.1758876,1.0876564,-0.86841446,0.20798947,4.189114,0.42690945,-1.2927927,-0.13490948,-0.82128865,1.7639153,-1.3332235,1.6862081,2.7444098,-0.92408794,-2.1332839,0.13662533,-0.3333432,-0.21603613,0.04661248,0.19880073,0.6656595,-0.40421733,0.044092994,6
07ccf1dcc457a22a.mp4,bridge_down,../prepair_dataset/train/bridge_down/07ccf1dcc457a22a.mp4,../images_for_emb/bridge_down/07ccf1dcc457a22a.jpg,-5.4893217,-1.9356005,-1.0046723,-2.3265436,0.70874023,1.8931774,-0.073896796,-0.77993536,1.8459271,1.6991652,2.8901563,0.9210083,-1.8002161,0.39953104,-0.5861372,0.3810609,-0.28877747,-1.5095973,1.1117705,0.73757595,0.47352645,0.42829046,-0.33593768,-0.349044,-1.0329037,7
082144bb2989411c.mp4,bridge_down,../prepair_dataset/train/bridge_down/082144bb2989411c.mp4,../images_for_emb/bridge_down/082144bb2989411c.jpg,4.2714715,5.040618,0.8917727,-0.4846986,1.0216587,-0.54629207,-0.57863325,0.5261858,1.506273,0.23522082,-0.6912749,-1.1647159,-0.50221443,-0.4371388,2.033138,0.493307,0.89431226,-1.3384968,0.876808,-0.7275083,-0.18175858,-0.13000391,-1.6943341,-0.13605948,-1.2197502,8
